sentances,predictions
"It uncommonly involves the kidneys in various forms, including tubulointerstitial nephritis, renal tubular acidosis, Fanconi syndrome, and rarely glomerulonephritis.","[{'It': 'O'}, {'uncommonly': 'O'}, {'involves': 'O'}, {'the': 'O'}, {'kidneys': 'O'}, {'in': 'O'}, {'various': 'O'}, {'forms,': 'O'}, {'including': 'O'}, {'tubulointerstitial': 'B-Entity'}, {'nephritis,': 'I-Entity'}, {'renal': 'B-Entity'}, {'tubular': 'I-Entity'}, {'acidosis,': 'I-Entity'}, {'Fanconi': 'B-Entity'}, {'syndrome,': 'I-Entity'}, {'and': 'O'}, {'rarely': 'O'}, {'glomerulonephritis.': 'I-Entity'}]"
"A subgroup of patients in pITP patients with some obvious autoimmune features (defined as AIF-ITP) such as positive ANA but failing to meet the diagnosis criteria now used for a specific kind of connective tissue diseases were also different with other pITP patients in some immunological features, indicating the difference in the pathogenesis mechanism of those autoimmune featured ITP patients.ITP patients were heterogeneous in clinical characteristics.","[{'A': 'O'}, {'subgroup': 'O'}, {'of': 'O'}, {'patients': 'O'}, {'in': 'O'}, {'pITP': 'I-Entity'}, {'patients': 'O'}, {'with': 'O'}, {'some': 'O'}, {'obvious': 'O'}, {'autoimmune': 'O'}, {'features': 'O'}, {'(defined': 'O'}, {'as': 'O'}, {'AIF-ITP)': 'I-Entity'}, {'such': 'O'}, {'as': 'O'}, {'positive': 'O'}, {'ANA': 'O'}, {'but': 'O'}, {'failing': 'O'}, {'to': 'O'}, {'meet': 'O'}, {'the': 'O'}, {'diagnosis': 'O'}, {'criteria': 'O'}, {'now': 'O'}, {'used': 'O'}, {'for': 'O'}, {'a': 'O'}, {'specific': 'O'}, {'kind': 'O'}, {'of': 'O'}, {'connective': 'B-Entity'}, {'tissue': 'I-Entity'}, {'diseases': 'I-Entity'}, {'were': 'O'}, {'also': 'O'}, {'different': 'O'}, {'with': 'O'}, {'other': 'O'}, {'pITP': 'I-Entity'}, {'patients': 'O'}, {'in': 'O'}, {'some': 'O'}, {'immunological': 'O'}]"
These results indicated proximal tubular dysfunction.,"[{'These': 'O'}, {'results': 'O'}, {'indicated': 'O'}, {'proximal': 'O'}, {'tubular': 'B-Entity'}, {'dysfunction.': 'I-Entity'}]"
"Six such cases were identified, representing 12% of all sIBM cases.","[{'Six': 'O'}, {'such': 'O'}, {'cases': 'O'}, {'were': 'O'}, {'identified,': 'O'}, {'representing': 'O'}, {'12%': 'O'}, {'of': 'O'}, {'all': 'O'}, {'sIBM': 'I-Entity'}, {'cases.': 'O'}]"
"A high prevalence of MG of undetermined significance (MGUS) has been noted in a series of patients with immune disorders, suggesting a possible association with MG. Further studies should focus on determining how MG relates to various clinical information and laboratory parameters, such as disease duration, disease activity and higher sedimentation rate.","[{'A': 'O'}, {'high': 'O'}, {'prevalence': 'O'}, {'of': 'O'}, {'MG': 'I-Entity'}, {'of': 'O'}, {'undetermined': 'O'}, {'significance': 'O'}, {'(MGUS)': 'O'}, {'has': 'O'}, {'been': 'O'}, {'noted': 'O'}, {'in': 'O'}, {'a': 'O'}, {'series': 'O'}, {'of': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'immune': 'B-Entity'}, {'disorders,': 'I-Entity'}, {'suggesting': 'O'}, {'a': 'O'}, {'possible': 'O'}, {'association': 'O'}, {'with': 'O'}, {'MG.': 'I-Entity'}, {'Further': 'O'}, {'studies': 'O'}, {'should': 'O'}, {'focus': 'O'}, {'on': 'O'}, {'determining': 'O'}, {'how': 'O'}, {'MG': 'I-Entity'}, {'relates': 'O'}, {'to': 'O'}, {'various': 'O'}, {'clinical': 'O'}, {'information': 'O'}, {'and': 'O'}, {'laboratory': 'O'}, {'parameters,': 'O'}, {'such': 'O'}, {'as': 'O'}, {'disease': 'O'}, {'duration,': 'O'}, {'disease': 'O'}, {'activity': 'O'}, {'and': 'O'}, {'higher': 'O'}, {'sedimentation': 'O'}, {'rate.': 'O'}]"
"Research is needed to test the effect of psycho-educational therapies on key patient-reported outcomes, particularly pain, depression, and fatigue, in pSS.Jan 7.phenotypes and regulatory mechanisms.","[{'Research': 'O'}, {'is': 'O'}, {'needed': 'O'}, {'to': 'O'}, {'test': 'O'}, {'the': 'O'}, {'effect': 'O'}, {'of': 'O'}, {'psycho-educational': 'O'}, {'therapies': 'O'}, {'on': 'O'}, {'key': 'O'}, {'patient-reported': 'O'}, {'outcomes,': 'O'}, {'particularly': 'O'}, {'pain,': 'I-Entity'}, {'depression,': 'I-Entity'}, {'and': 'O'}, {'fatigue,': 'I-Entity'}, {'in': 'O'}, {'pSS.Jan': 'O'}, {'7.phenotypes': 'O'}, {'and': 'O'}, {'regulatory': 'O'}, {'mechanisms.': 'O'}]"
"There is endothelial dysfunction in patients with primary Sjogren syndrome, although they had comparable carotid intima-media thickness with the healthy control group.Turkey.","[{'There': 'O'}, {'is': 'O'}, {'endothelial': 'B-Entity'}, {'dysfunction': 'I-Entity'}, {'in': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'primary': 'B-Entity'}, {'Sjogren': 'I-Entity'}, {'syndrome,': 'I-Entity'}, {'although': 'O'}, {'they': 'O'}, {'had': 'O'}, {'comparable': 'O'}, {'carotid': 'O'}, {'intima-media': 'O'}, {'thickness': 'O'}, {'with': 'O'}, {'the': 'O'}, {'healthy': 'O'}, {'control': 'O'}, {'group.Turkey.': 'O'}]"
Dry mouth is not a trivial symptom for Sjogrens Syndrome sufferers; it has considerable impact on their day-to-day lives.,"[{'Dry': 'B-Entity'}, {'mouth': 'I-Entity'}, {'is': 'O'}, {'not': 'O'}, {'a': 'O'}, {'trivial': 'O'}, {'symptom': 'O'}, {'for': 'O'}, {'Sjogrens': 'B-Entity'}, {'Syndrome': 'I-Entity'}, {'sufferers;': 'O'}, {'it': 'O'}, {'has': 'O'}, {'considerable': 'O'}, {'impact': 'O'}, {'on': 'O'}, {'their': 'O'}, {'day-to-day': 'O'}, {'lives.': 'O'}]"
Double-labeling confocal fluorescence microscopy using H(+)-ATPase and pendrin antibodies demonstrated a decreased expression of these proteins in the patient's renal collecting duct compared to normal controls.,"[{'Double-labeling': 'O'}, {'confocal': 'O'}, {'fluorescence': 'O'}, {'microscopy': 'O'}, {'using': 'O'}, {'H(+)-ATPase': 'I-Entity'}, {'and': 'O'}, {'pendrin': 'O'}, {'antibodies': 'O'}, {'demonstrated': 'O'}, {'a': 'O'}, {'decreased': 'O'}, {'expression': 'O'}, {'of': 'O'}, {'these': 'O'}, {'proteins': 'O'}, {'in': 'O'}, {'the': 'O'}, {""patient's"": 'O'}, {'renal': 'O'}, {'collecting': 'O'}, {'duct': 'O'}, {'compared': 'O'}, {'to': 'O'}, {'normal': 'O'}, {'controls.': 'O'}]"
Primary Sjogrens syndrome (pSS) is a systemic autoimmune disorder characterized by focal lymphocytic infiltration of the exocrine glands causing dry eyes and dry mouth.,"[{'Primary': 'B-Entity'}, {'Sjogrens': 'I-Entity'}, {'syndrome': 'I-Entity'}, {'(pSS)': 'O'}, {'is': 'O'}, {'a': 'O'}, {'systemic': 'O'}, {'autoimmune': 'B-Entity'}, {'disorder': 'I-Entity'}, {'characterized': 'O'}, {'by': 'O'}, {'focal': 'O'}, {'lymphocytic': 'O'}, {'infiltration': 'O'}, {'of': 'O'}, {'the': 'O'}, {'exocrine': 'O'}, {'glands': 'O'}, {'causing': 'O'}, {'dry': 'B-Entity'}, {'eyes': 'I-Entity'}, {'and': 'O'}, {'dry': 'B-Entity'}, {'mouth.': 'I-Entity'}]"
"In this cross-sectional study, we evaluated the role of immunological factors and proviral load, in sicca syndrome associated with HTLV-1 in patients without myelopathy.","[{'In': 'O'}, {'this': 'O'}, {'cross-sectional': 'O'}, {'study,': 'O'}, {'we': 'O'}, {'evaluated': 'O'}, {'the': 'O'}, {'role': 'O'}, {'of': 'O'}, {'immunological': 'O'}, {'factors': 'O'}, {'and': 'O'}, {'proviral': 'O'}, {'load,': 'O'}, {'in': 'O'}, {'sicca': 'B-Entity'}, {'syndrome': 'I-Entity'}, {'associated': 'O'}, {'with': 'O'}, {'HTLV-1': 'O'}, {'in': 'O'}, {'patients': 'O'}, {'without': 'O'}, {'myelopathy.': 'I-Entity'}]"
"Correlation between EMP and EPC levels and parameters of disease activity and damage, clinical features and markers of immunological dysfunction was performed.","[{'Correlation': 'O'}, {'between': 'O'}, {'EMP': 'O'}, {'and': 'O'}, {'EPC': 'O'}, {'levels': 'O'}, {'and': 'O'}, {'parameters': 'O'}, {'of': 'O'}, {'disease': 'O'}, {'activity': 'O'}, {'and': 'O'}, {'damage,': 'O'}, {'clinical': 'O'}, {'features': 'O'}, {'and': 'O'}, {'markers': 'O'}, {'of': 'O'}, {'immunological': 'B-Entity'}, {'dysfunction': 'I-Entity'}, {'was': 'O'}, {'performed.': 'O'}]"
"She was diagnosed with Sjogrens syndrome based on the dry eyes, dry mouth, positive anti-nuclear antibody test, anti-Ro (SS-A) antibody, salivary gland biopsy, and salivary scintigraphy.","[{'She': 'O'}, {'was': 'O'}, {'diagnosed': 'O'}, {'with': 'O'}, {'Sjogrens': 'B-Entity'}, {'syndrome': 'I-Entity'}, {'based': 'O'}, {'on': 'O'}, {'the': 'O'}, {'dry': 'B-Entity'}, {'eyes,': 'I-Entity'}, {'dry': 'B-Entity'}, {'mouth,': 'I-Entity'}, {'positive': 'O'}, {'anti-nuclear': 'O'}, {'antibody': 'O'}, {'test,': 'O'}, {'anti-Ro': 'O'}, {'(SS-A)': 'O'}, {'antibody,': 'O'}, {'salivary': 'O'}, {'gland': 'O'}, {'biopsy,': 'O'}, {'and': 'O'}, {'salivary': 'O'}, {'scintigraphy.': 'O'}]"
"Before and after a 2-month period of treatment with liposomal agents for oral, nasal, and ocular complaints (LipoSaliva¬¨√Ü, LipoNasal¬¨√Ü, and Tears Again¬¨√Ü,) AECG criteria and subjective symptoms were evaluated using visual analogue scales.","[{'Before': 'O'}, {'and': 'O'}, {'after': 'O'}, {'a': 'O'}, {'2-month': 'O'}, {'period': 'O'}, {'of': 'O'}, {'treatment': 'O'}, {'with': 'O'}, {'liposomal': 'O'}, {'agents': 'O'}, {'for': 'O'}, {'oral,': 'B-Entity'}, {'nasal,': 'I-Entity'}, {'and': 'I-Entity'}, {'ocular': 'I-Entity'}, {'complaints': 'I-Entity'}, {'(LipoSaliva¬¨√Ü,': 'O'}, {'LipoNasal¬¨√Ü,': 'O'}, {'and': 'O'}, {'Tears': 'O'}, {'Again¬¨√Ü,)': 'O'}]"
"Hypothyroidism developed at a much younger mean age (24.3 years), suggesting that SLE might be a predisposing factor for the development of Hashimoto's thyroiditis.","[{'Hypothyroidism': 'I-Entity'}, {'developed': 'O'}, {'at': 'O'}, {'a': 'O'}, {'much': 'O'}, {'younger': 'O'}, {'mean': 'O'}, {'age': 'O'}, {'(24.3': 'O'}, {'years),': 'O'}, {'suggesting': 'O'}, {'that': 'O'}, {'SLE': 'I-Entity'}, {'might': 'O'}, {'be': 'O'}, {'a': 'O'}, {'predisposing': 'O'}, {'factor': 'O'}, {'for': 'O'}, {'the': 'O'}, {'development': 'O'}, {'of': 'O'}, {""Hashimoto's"": 'B-Entity'}, {'thyroiditis.': 'I-Entity'}]"
"MR spectroscopy revealed a reduction of NAA levels or NAA/Cr ratio decrease in subcortical frontal and basal ganglia white matter, while ultrasonography showed an impairment of microvasculature response.","[{'MR': 'O'}, {'spectroscopy': 'O'}, {'revealed': 'O'}, {'a': 'O'}, {'reduction': 'O'}, {'of': 'O'}, {'NAA': 'I-Entity'}, {'levels': 'O'}, {'or': 'O'}, {'NAA/Cr': 'I-Entity'}, {'ratio': 'O'}, {'decrease': 'O'}, {'in': 'O'}, {'subcortical': 'O'}, {'frontal': 'O'}, {'and': 'O'}, {'basal': 'O'}, {'ganglia': 'O'}, {'white': 'O'}, {'matter,': 'O'}, {'while': 'O'}, {'ultrasonography': 'O'}, {'showed': 'O'}, {'an': 'O'}, {'impairment': 'B-Entity'}, {'of': 'I-Entity'}, {'microvasculature': 'I-Entity'}, {'response.': 'O'}]"
"Our aim was to investigate the prevalence of pulmonary involvement in pSS patients and to classify patients according to the pulmonary domain of the EULAR Sjogrens Syndrome Disease Activity Index (ESSDAI).This retrospective cohort study included consecutive pSS patients, fulfilling American-European Consensus Group/American College of Rheumatology classification criteria, who visited the Department of Rheumatology and Clinical Immunology, University Medical Center Groningen, in 2015.","[{'Our': 'O'}, {'aim': 'O'}, {'was': 'O'}, {'to': 'O'}, {'investigate': 'O'}, {'the': 'O'}, {'prevalence': 'O'}, {'of': 'O'}, {'pulmonary': 'O'}, {'involvement': 'O'}, {'in': 'O'}, {'pSS': 'I-Entity'}, {'patients': 'O'}, {'and': 'O'}, {'to': 'O'}, {'classify': 'O'}, {'patients': 'O'}, {'according': 'O'}, {'to': 'O'}, {'the': 'O'}, {'pulmonary': 'O'}, {'domain': 'O'}, {'of': 'O'}, {'the': 'O'}, {'EULAR': 'O'}, {'Sjogrens': 'I-Entity'}, {'Syndrome': 'I-Entity'}, {'Disease': 'O'}, {'Activity': 'O'}, {'Index': 'O'}, {'(ESSDAI).This': 'O'}, {'retrospective': 'O'}, {'cohort': 'O'}, {'study': 'O'}, {'included': 'O'}, {'consecutive': 'O'}, {'pSS': 'I-Entity'}, {'patients,': 'O'}, {'fulfilling': 'O'}, {'American-European': 'O'}]"
This report describes the clinical manifestations of 35 patients sent to a University Immunology clinic with a diagnosis of fatigue and exercise intolerance who were identified to have low carnitine palmitoyl transferase activity on muscle biopsies.,"[{'This': 'O'}, {'report': 'O'}, {'describes': 'O'}, {'the': 'O'}, {'clinical': 'O'}, {'manifestations': 'O'}, {'of': 'O'}, {'35': 'O'}, {'patients': 'O'}, {'sent': 'O'}, {'to': 'O'}, {'a': 'O'}, {'University': 'O'}, {'Immunology': 'O'}, {'clinic': 'O'}, {'with': 'O'}, {'a': 'O'}, {'diagnosis': 'O'}, {'of': 'O'}, {'fatigue': 'I-Entity'}, {'and': 'O'}, {'exercise': 'B-Entity'}, {'intolerance': 'I-Entity'}, {'who': 'O'}, {'were': 'O'}, {'identified': 'O'}, {'to': 'O'}, {'have': 'O'}, {'low': 'O'}, {'carnitine': 'I-Entity'}, {'palmitoyl': 'O'}, {'transferase': 'O'}, {'activity': 'O'}, {'on': 'O'}, {'muscle': 'O'}, {'biopsies.': 'O'}]"
The objective of the study was to evaluate the impact of previously unrecognized systemic autoimmune rheumatic on the incidence of preeclampsia and fetal growth restriction (FGR).,"[{'The': 'O'}, {'objective': 'O'}, {'of': 'O'}, {'the': 'O'}, {'study': 'O'}, {'was': 'O'}, {'to': 'O'}, {'evaluate': 'O'}, {'the': 'O'}, {'impact': 'O'}, {'of': 'O'}, {'previously': 'O'}, {'unrecognized': 'O'}, {'systemic': 'O'}, {'autoimmune': 'B-Entity'}, {'rheumatic': 'I-Entity'}, {'on': 'O'}, {'the': 'O'}, {'incidence': 'O'}, {'of': 'O'}, {'preeclampsia': 'I-Entity'}, {'and': 'O'}, {'fetal': 'B-Entity'}, {'growth': 'I-Entity'}, {'restriction': 'I-Entity'}, {'(FGR).': 'O'}]"
"The clinical presentation of pSS may vary from an asymptomatic condition to severe skin symptom, resulting in a difficult and challenging diagnosis and treatment.","[{'The': 'O'}, {'clinical': 'O'}, {'presentation': 'O'}, {'of': 'O'}, {'pSS': 'I-Entity'}, {'may': 'O'}, {'vary': 'O'}, {'from': 'O'}, {'an': 'O'}, {'asymptomatic': 'O'}, {'condition': 'O'}, {'to': 'O'}, {'severe': 'O'}, {'skin': 'O'}, {'symptom,': 'O'}, {'resulting': 'O'}, {'in': 'O'}, {'a': 'O'}, {'difficult': 'O'}, {'and': 'O'}, {'challenging': 'O'}, {'diagnosis': 'O'}, {'and': 'O'}, {'treatment.': 'O'}]"
"Furthermore, composite indices such as the disease activity score (DAS)-28, which are widely used in everyday clinical practice and clinical trials, may be insufficient to evaluate real inflammatory activity in patients with RA associated with chronic pain syndromes such as FM, and can lead to an overestimate of disease activity in RA.","[{'Furthermore,': 'O'}, {'composite': 'O'}, {'indices': 'O'}, {'such': 'O'}, {'as': 'O'}, {'the': 'O'}, {'disease': 'O'}, {'activity': 'O'}, {'score': 'O'}, {'(DAS)-28,': 'O'}, {'which': 'O'}, {'are': 'O'}, {'widely': 'O'}, {'used': 'O'}, {'in': 'O'}, {'everyday': 'O'}, {'clinical': 'O'}, {'practice': 'O'}, {'and': 'O'}, {'clinical': 'O'}, {'trials,': 'O'}, {'may': 'O'}, {'be': 'O'}, {'insufficient': 'O'}, {'to': 'O'}, {'evaluate': 'O'}, {'real': 'O'}, {'inflammatory': 'O'}, {'activity': 'O'}, {'in': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'RA': 'I-Entity'}, {'associated': 'O'}, {'with': 'O'}, {'chronic': 'B-Entity'}, {'pain': 'I-Entity'}, {'syndromes': 'I-Entity'}, {'such': 'O'}, {'as': 'O'}, {'FM,': 'I-Entity'}, {'and': 'O'}, {'can': 'O'}, {'lead': 'O'}, {'to': 'O'}, {'an': 'O'}, {'overestimate': 'O'}, {'of': 'O'}, {'disease': 'O'}]"
Visual analog scale assessment showed a significant time-wise improvement (P < 0.05).,"[{'Visual': 'O'}, {'analog': 'O'}, {'scale': 'O'}, {'assessment': 'O'}, {'showed': 'O'}, {'a': 'O'}, {'significant': 'O'}, {'time-wise': 'O'}, {'improvement': 'O'}, {'(P': 'O'}, {'<': 'O'}, {'0.05).': 'O'}]"
We describe 7 patients that developed urticarial lesions in the context of a known or concurrently diagnosed autoimmune connective tissue disease.,"[{'We': 'O'}, {'describe': 'O'}, {'7': 'O'}, {'patients': 'O'}, {'that': 'O'}, {'developed': 'O'}, {'urticarial': 'B-Entity'}, {'lesions': 'I-Entity'}, {'in': 'O'}, {'the': 'O'}, {'context': 'O'}, {'of': 'O'}, {'a': 'O'}, {'known': 'O'}, {'or': 'O'}, {'concurrently': 'O'}, {'diagnosed': 'O'}, {'autoimmune': 'B-Entity'}, {'connective': 'I-Entity'}, {'tissue': 'I-Entity'}, {'disease.': 'I-Entity'}]"
"All patients with pSS-SFN, i-SFN, and hATTR-SFN confirmed by reduced intraepidermal nerve fiber density on skin biopsy were retrospectively included, and their characteristics were compared.","[{'All': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'pSS-SFN,': 'I-Entity'}, {'i-SFN,': 'O'}, {'and': 'O'}, {'hATTR-SFN': 'O'}, {'confirmed': 'O'}, {'by': 'O'}, {'reduced': 'O'}, {'intraepidermal': 'O'}, {'nerve': 'O'}, {'fiber': 'O'}, {'density': 'O'}, {'on': 'O'}, {'skin': 'O'}, {'biopsy': 'O'}, {'were': 'O'}, {'retrospectively': 'O'}, {'included,': 'O'}, {'and': 'O'}, {'their': 'O'}, {'characteristics': 'O'}, {'were': 'O'}, {'compared.': 'O'}]"
