sentances,predictions
We enrolled 19 women with pSS (54 pregnancies) matched by age and BMI to 216 controls.,"[{'We': 'O'}, {'enrolled': 'O'}, {'19': 'O'}, {'women': 'O'}, {'with': 'O'}, {'pSS': 'I-Entity'}, {'(54': 'O'}, {'pregnancies)': 'O'}, {'matched': 'O'}, {'by': 'O'}, {'age': 'O'}, {'and': 'O'}, {'BMI': 'O'}, {'to': 'O'}, {'216': 'O'}, {'controls.': 'O'}]"
"Patients with positive anti-Ro/SSA and anti-Ro52 antibodies had a higher frequency of positive salivary gland biopsy, parotid enlargement and positive RF, and higher levels of serum IgG and IgA levels in comparison with patients with positive anti-Ro/SSA but negative anti-Ro52 antibodies.","[{'Patients': 'O'}, {'with': 'O'}, {'positive': 'O'}, {'anti-Ro/SSA': 'O'}, {'and': 'O'}, {'anti-Ro52': 'O'}, {'antibodies': 'O'}, {'had': 'O'}, {'a': 'O'}, {'higher': 'O'}, {'frequency': 'O'}, {'of': 'O'}, {'positive': 'O'}, {'salivary': 'O'}, {'gland': 'O'}, {'biopsy,': 'O'}, {'parotid': 'B-Entity'}, {'enlargement': 'I-Entity'}, {'and': 'O'}, {'positive': 'O'}, {'RF,': 'I-Entity'}, {'and': 'O'}, {'higher': 'O'}, {'levels': 'O'}, {'of': 'O'}, {'serum': 'O'}, {'IgG': 'O'}, {'and': 'O'}, {'IgA': 'O'}, {'levels': 'O'}, {'in': 'O'}, {'comparison': 'O'}, {'with': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'positive': 'O'}]"
Non-productive cough was detected in 30 patients (37.5%).,"[{'Non-productive': 'O'}, {'cough': 'I-Entity'}, {'was': 'O'}, {'detected': 'O'}, {'in': 'O'}, {'30': 'O'}, {'patients': 'O'}, {'(37.5%).': 'O'}]"
"Musculoskeletal manifestations were as follows: past or present pain in the extremities (13 females and 10 males), combined in some patients with vasomotor disorders in the extremities and telangiectasia; exercise intolerance (12 females and 12 males); osteoporotic fractures (2 brothers aged 45 and 44 years, respectively); osteoporosis (3 females, aged 57, 63, and 75 years, respectively), which contributed to death in the oldest patient; osteopenia¬¨‚Ä†(2 females aged 38 and 47 years, respectively; and 1 male aged 43 years); Charcot foot and lymphedema with serious infectious complications (4 males older than 40 years), with avascular osteonecrosis of the lower limbs in 2 cases; toe amputations (3 cases); bilateral lower-limb amputation (1 case); abnormally slender lower limbs (5 females and 8 males); acute gout (3 males with severe chronic kidney failure); and carpal tunnel syndrome (1 female and 1 male, both younger than 40 years).","[{'Musculoskeletal': 'O'}, {'manifestations': 'O'}, {'were': 'O'}, {'as': 'O'}, {'follows:': 'O'}, {'past': 'O'}, {'or': 'O'}, {'present': 'O'}, {'pain': 'I-Entity'}, {'in': 'O'}, {'the': 'O'}, {'extremities': 'O'}, {'(13': 'O'}, {'females': 'O'}, {'and': 'O'}, {'10': 'O'}, {'males),': 'O'}, {'combined': 'O'}, {'in': 'O'}, {'some': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'vasomotor': 'B-Entity'}, {'disorders': 'I-Entity'}, {'in': 'I-Entity'}, {'the': 'I-Entity'}, {'extremities': 'I-Entity'}, {'and': 'O'}, {'telangiectasia;': 'I-Entity'}, {'exercise': 'B-Entity'}, {'intolerance': 'I-Entity'}, {'(12': 'O'}, {'females': 'O'}, {'and': 'O'}]"
These disorders can be associated with nephrocalcinosis and renal lithiasis.,"[{'These': 'O'}, {'disorders': 'O'}, {'can': 'O'}, {'be': 'O'}, {'associated': 'O'}, {'with': 'O'}, {'nephrocalcinosis': 'I-Entity'}, {'and': 'O'}, {'renal': 'B-Entity'}, {'lithiasis.': 'I-Entity'}]"
PPAR-≈í‚â• ameliorates Sjogren's syndrome on NOD mice effectively.,"[{'PPAR-≈í‚â•': 'O'}, {'ameliorates': 'O'}, {""Sjogren's"": 'B-Entity'}, {'syndrome': 'I-Entity'}, {'on': 'O'}, {'NOD': 'O'}, {'mice': 'O'}, {'effectively.': 'O'}]"
"It could be useful to investigate whether patients presenting with a ranula are also affected by Sjogrens syndrome and, conversely, investigate patients with Sjogrens syndrome longitudinally to see whether they develop ranulas.reserved.Chiba, Japan.Chiba, Japan.Chiba, Japan.Chiba, Japan.Tokyo Dental College, Chiba, Japan.Chiba, Japan.","[{'It': 'O'}, {'could': 'O'}, {'be': 'O'}, {'useful': 'O'}, {'to': 'O'}, {'investigate': 'O'}, {'whether': 'O'}, {'patients': 'O'}, {'presenting': 'O'}, {'with': 'O'}, {'a': 'O'}, {'ranula': 'I-Entity'}, {'are': 'O'}, {'also': 'O'}, {'affected': 'O'}, {'by': 'O'}, {'Sjogrens': 'B-Entity'}, {'syndrome': 'I-Entity'}, {'and,': 'O'}, {'conversely,': 'O'}, {'investigate': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'Sjogrens': 'B-Entity'}, {'syndrome': 'I-Entity'}, {'longitudinally': 'O'}, {'to': 'O'}, {'see': 'O'}, {'whether': 'O'}, {'they': 'O'}, {'develop': 'O'}, {'ranulas.reserved.Chiba,': 'I-Entity'}, {'Japan.Chiba,': 'O'}, {'Japan.Chiba,': 'O'}]"
Lupus alopecia is usually difficult to treat.,"[{'Lupus': 'B-Entity'}, {'alopecia': 'I-Entity'}, {'is': 'O'}, {'usually': 'O'}, {'difficult': 'O'}, {'to': 'O'}, {'treat.': 'O'}]"
"The risk of pSS was significantly increased in female patients with thyroid diseases, particularly those in their mid-forties to mid-sixties.","[{'The': 'O'}, {'risk': 'O'}, {'of': 'O'}, {'pSS': 'I-Entity'}, {'was': 'O'}, {'significantly': 'O'}, {'increased': 'O'}, {'in': 'O'}, {'female': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'thyroid': 'B-Entity'}, {'diseases,': 'I-Entity'}, {'particularly': 'O'}, {'those': 'O'}, {'in': 'O'}, {'their': 'O'}, {'mid-forties': 'O'}, {'to': 'O'}, {'mid-sixties.': 'O'}]"
"Particularly, we observed a high prevalence of migraine without aura, subcortical frontal executive functions and verbal memory impairment and apathy/alexythimia.","[{'Particularly,': 'O'}, {'we': 'O'}, {'observed': 'O'}, {'a': 'O'}, {'high': 'O'}, {'prevalence': 'O'}, {'of': 'O'}, {'migraine': 'B-Entity'}, {'without': 'I-Entity'}, {'aura,': 'I-Entity'}, {'subcortical': 'O'}, {'frontal': 'O'}, {'executive': 'O'}, {'functions': 'O'}, {'and': 'O'}, {'verbal': 'O'}, {'memory': 'B-Entity'}, {'impairment': 'I-Entity'}, {'and': 'O'}, {'apathy/alexythimia.': 'I-Entity'}]"
"Hair disorders in CTDs may manifest as various clinical patterns, such as telogen hair loss, diffuse thinning or fragility of hair, and scarring alopecia.","[{'Hair': 'B-Entity'}, {'disorders': 'I-Entity'}, {'in': 'O'}, {'CTDs': 'I-Entity'}, {'may': 'O'}, {'manifest': 'O'}, {'as': 'O'}, {'various': 'O'}, {'clinical': 'O'}, {'patterns,': 'O'}, {'such': 'O'}, {'as': 'O'}, {'telogen': 'O'}, {'hair': 'B-Entity'}, {'loss,': 'I-Entity'}, {'diffuse': 'O'}, {'thinning': 'O'}, {'or': 'O'}, {'fragility': 'O'}, {'of': 'O'}, {'hair,': 'O'}, {'and': 'O'}, {'scarring': 'O'}, {'alopecia.': 'I-Entity'}]"
"Acute or subacute onset is observed more frequently in multiple mononeuropathy and multiple cranial neuropathies, whereas disease progression is usually chronic in other forms of neuropathies.","[{'Acute': 'O'}, {'or': 'O'}, {'subacute': 'O'}, {'onset': 'O'}, {'is': 'O'}, {'observed': 'O'}, {'more': 'O'}, {'frequently': 'O'}, {'in': 'O'}, {'multiple': 'B-Entity'}, {'mononeuropathy': 'I-Entity'}, {'and': 'O'}, {'multiple': 'B-Entity'}, {'cranial': 'I-Entity'}, {'neuropathies,': 'I-Entity'}, {'whereas': 'O'}, {'disease': 'O'}, {'progression': 'O'}, {'is': 'O'}, {'usually': 'O'}, {'chronic': 'O'}, {'in': 'O'}, {'other': 'O'}, {'forms': 'O'}, {'of': 'O'}, {'neuropathies.': 'I-Entity'}]"
"Associated with clinical features, these methods provide the basis of correct diagnosis and appropriate therapy for lacrimal gland pathology.Romania.","[{'Associated': 'O'}, {'with': 'O'}, {'clinical': 'O'}, {'features,': 'O'}, {'these': 'O'}, {'methods': 'O'}, {'provide': 'O'}, {'the': 'O'}, {'basis': 'O'}, {'of': 'O'}, {'correct': 'O'}, {'diagnosis': 'O'}, {'and': 'O'}, {'appropriate': 'O'}, {'therapy': 'O'}, {'for': 'O'}, {'lacrimal': 'B-Entity'}, {'gland': 'I-Entity'}, {'pathology.Romania.': 'I-Entity'}]"
Pulmonary mucosa-associated lymphoid tissue lymphoma (MALToma) was diagnosed in seven subjects (33%).,"[{'Pulmonary': 'O'}, {'mucosa-associated': 'O'}, {'lymphoid': 'B-Entity'}, {'tissue': 'I-Entity'}, {'lymphoma': 'I-Entity'}, {'(MALToma)': 'O'}, {'was': 'O'}, {'diagnosed': 'O'}, {'in': 'O'}, {'seven': 'O'}, {'subjects': 'O'}, {'(33%).': 'O'}]"
Comprehensive investigations for known haematological and metabolic disorders associated with subdural haematomas or effusions in infants were all normal.,"[{'Comprehensive': 'O'}, {'investigations': 'O'}, {'for': 'O'}, {'known': 'O'}, {'haematological': 'B-Entity'}, {'and': 'I-Entity'}, {'metabolic': 'I-Entity'}, {'disorders': 'I-Entity'}, {'associated': 'O'}, {'with': 'O'}, {'subdural': 'B-Entity'}, {'haematomas': 'I-Entity'}, {'or': 'O'}, {'effusions': 'I-Entity'}, {'in': 'O'}, {'infants': 'O'}, {'were': 'O'}, {'all': 'O'}, {'normal.': 'O'}]"
Electronic address: cylin@tmu.edu.tw.9.plasma cell accumulation in immunoglobulin G4-related disease.,"[{'Electronic': 'O'}, {'address:': 'O'}, {'cylin@tmu.edu.tw.9.plasma': 'O'}, {'cell': 'O'}, {'accumulation': 'O'}, {'in': 'O'}, {'immunoglobulin': 'B-Entity'}, {'G4-related': 'I-Entity'}, {'disease.': 'I-Entity'}]"
"It will provide a reference for early detection, early diagnosis and early treatment of atypical primary Sjogren syndrome with neurological impairment as the first symptom.","[{'It': 'O'}, {'will': 'O'}, {'provide': 'O'}, {'a': 'O'}, {'reference': 'O'}, {'for': 'O'}, {'early': 'O'}, {'detection,': 'O'}, {'early': 'O'}, {'diagnosis': 'O'}, {'and': 'O'}, {'early': 'O'}, {'treatment': 'O'}, {'of': 'O'}, {'atypical': 'O'}, {'primary': 'B-Entity'}, {'Sjogren': 'I-Entity'}, {'syndrome': 'I-Entity'}, {'with': 'O'}, {'neurological': 'B-Entity'}, {'impairment': 'I-Entity'}, {'as': 'O'}, {'the': 'O'}, {'first': 'O'}, {'symptom.': 'O'}]"
"The incidence of influenza or bacterial complications (bronchitis) among vaccinated patients was significantly lower, compared to the non-vaccinated group.","[{'The': 'O'}, {'incidence': 'O'}, {'of': 'O'}, {'influenza': 'I-Entity'}, {'or': 'O'}, {'bacterial': 'O'}, {'complications': 'O'}, {'(bronchitis)': 'O'}, {'among': 'O'}, {'vaccinated': 'O'}, {'patients': 'O'}, {'was': 'O'}, {'significantly': 'O'}, {'lower,': 'O'}, {'compared': 'O'}, {'to': 'O'}, {'the': 'O'}, {'non-vaccinated': 'O'}, {'group.': 'O'}]"
"We also examine the possible utility for US to monitor patient response to therapy in both clinical research and standard clinical care.Pisa, Italy.Pisa, Italy.Pisa, Italy.Pisa, Italy.","[{'We': 'O'}, {'also': 'O'}, {'examine': 'O'}, {'the': 'O'}, {'possible': 'O'}, {'utility': 'O'}, {'for': 'O'}, {'US': 'O'}, {'to': 'O'}, {'monitor': 'O'}, {'patient': 'O'}, {'response': 'O'}, {'to': 'O'}, {'therapy': 'O'}, {'in': 'O'}, {'both': 'O'}, {'clinical': 'O'}, {'research': 'O'}, {'and': 'O'}, {'standard': 'O'}, {'clinical': 'O'}, {'care.Pisa,': 'O'}, {'Italy.Pisa,': 'O'}, {'Italy.Pisa,': 'O'}, {'Italy.Pisa,': 'O'}, {'Italy.': 'O'}]"
"Conditions associated with parotid enlargement should also be excluded, including juvenile recurrent parotitis (JRP), sialadenosis, sarcoidosis, lymphoma, infectious parotitis caused by streptococcal and staphylococcal infections, viral infections (paramyxovirus, Epstein-Barr virus, cytomegalovirus, and parvovirus), and diffuse infiltrative lymphocytosis syndrome (associated with HIV infection), and rare congenital conditions, such as polycystic parotid disease.","[{'Conditions': 'O'}, {'associated': 'O'}, {'with': 'O'}, {'parotid': 'B-Entity'}, {'enlargement': 'I-Entity'}, {'should': 'O'}, {'also': 'O'}, {'be': 'O'}, {'excluded,': 'O'}, {'including': 'O'}, {'juvenile': 'B-Entity'}, {'recurrent': 'I-Entity'}, {'parotitis': 'I-Entity'}, {'(JRP),': 'O'}, {'sialadenosis,': 'I-Entity'}, {'sarcoidosis,': 'I-Entity'}, {'lymphoma,': 'I-Entity'}, {'infectious': 'B-Entity'}, {'parotitis': 'I-Entity'}, {'caused': 'O'}, {'by': 'O'}, {'streptococcal': 'I-Entity'}, {'and': 'O'}, {'staphylococcal': 'I-Entity'}, {'infections,': 'I-Entity'}]"
"Both neurological symptoms and MRI findings temporarily improved, and the GC dose was gradually decreased.","[{'Both': 'O'}, {'neurological': 'O'}, {'symptoms': 'O'}, {'and': 'O'}, {'MRI': 'O'}, {'findings': 'O'}, {'temporarily': 'O'}, {'improved,': 'O'}, {'and': 'O'}, {'the': 'O'}, {'GC': 'I-Entity'}, {'dose': 'O'}, {'was': 'O'}, {'gradually': 'O'}, {'decreased.': 'O'}]"
"Slight antibody effects in pregnancy, leading to PR segment prolongation, can already be seen from 18-week gestation onwards by fMCG.","[{'Slight': 'O'}, {'antibody': 'O'}, {'effects': 'O'}, {'in': 'O'}, {'pregnancy,': 'O'}, {'leading': 'O'}, {'to': 'O'}, {'PR': 'O'}, {'segment': 'O'}, {'prolongation,': 'O'}, {'can': 'O'}, {'already': 'O'}, {'be': 'O'}, {'seen': 'O'}, {'from': 'O'}, {'18-week': 'O'}, {'gestation': 'O'}, {'onwards': 'O'}, {'by': 'O'}, {'fMCG.': 'O'}]"
"Cardiac involvement in Sjogrens syndrome can affect all parts of the heart, but valve involvement is relatively rare.","[{'Cardiac': 'O'}, {'involvement': 'O'}, {'in': 'O'}, {'Sjogrens': 'B-Entity'}, {'syndrome': 'I-Entity'}, {'can': 'O'}, {'affect': 'O'}, {'all': 'O'}, {'parts': 'O'}, {'of': 'O'}, {'the': 'O'}, {'heart,': 'O'}, {'but': 'O'}, {'valve': 'O'}, {'involvement': 'O'}, {'is': 'O'}, {'relatively': 'O'}, {'rare.': 'O'}]"
"Therefore, we aimed to investigate whether patients with primary Sjogrens syndrome (pSS) with dry mouth have more voice-related problems than controls without the disease and to determine the factors affecting voice in pSS patients.","[{'Therefore,': 'O'}, {'we': 'O'}, {'aimed': 'O'}, {'to': 'O'}, {'investigate': 'O'}, {'whether': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'primary': 'B-Entity'}, {'Sjogrens': 'I-Entity'}, {'syndrome': 'I-Entity'}, {'(pSS)': 'O'}, {'with': 'O'}, {'dry': 'B-Entity'}, {'mouth': 'I-Entity'}, {'have': 'O'}, {'more': 'O'}, {'voice-related': 'B-Entity'}, {'problems': 'O'}, {'than': 'O'}, {'controls': 'O'}, {'without': 'O'}, {'the': 'O'}, {'disease': 'O'}, {'and': 'O'}, {'to': 'O'}, {'determine': 'O'}, {'the': 'O'}, {'factors': 'O'}, {'affecting': 'O'}, {'voice': 'O'}, {'in': 'O'}, {'pSS': 'I-Entity'}, {'patients.': 'O'}]"
"Our objective was to evaluate the diagnosis and manifestations associated for antibodies anti-Ro52, anti-Ro60 and anti-La at a referral hospital in Spain.","[{'Our': 'O'}, {'objective': 'O'}, {'was': 'O'}, {'to': 'O'}, {'evaluate': 'O'}, {'the': 'O'}, {'diagnosis': 'O'}, {'and': 'O'}, {'manifestations': 'O'}, {'associated': 'O'}, {'for': 'O'}, {'antibodies': 'O'}, {'anti-Ro52,': 'O'}, {'anti-Ro60': 'O'}, {'and': 'O'}, {'anti-La': 'O'}, {'at': 'O'}, {'a': 'O'}, {'referral': 'O'}, {'hospital': 'O'}, {'in': 'O'}, {'Spain.': 'O'}]"
"Moreover, the good results observed in the published trials after RTX treatment in pSS should represent the starting point to develop evidence-based guidelines for the use of biologic therapy in this disease.sagepub.co.uk/journalsPermissions.nav.University of L'Aquila, L'Aquila, Italy francescocarubbi@libero.it.University of L'Aquila, L'Aquila, Italy.Palermo, Italy.Palermo, Italy.University of L'Aquila, L'Aquila, Italy.","[{'Moreover,': 'O'}, {'the': 'O'}, {'good': 'O'}, {'results': 'O'}, {'observed': 'O'}, {'in': 'O'}, {'the': 'O'}, {'published': 'O'}, {'trials': 'O'}, {'after': 'O'}, {'RTX': 'O'}, {'treatment': 'O'}, {'in': 'O'}, {'pSS': 'I-Entity'}, {'should': 'O'}, {'represent': 'O'}, {'the': 'O'}, {'starting': 'O'}, {'point': 'O'}, {'to': 'O'}, {'develop': 'O'}, {'evidence-based': 'O'}, {'guidelines': 'O'}, {'for': 'O'}, {'the': 'O'}, {'use': 'O'}, {'of': 'O'}, {'biologic': 'O'}, {'therapy': 'O'}, {'in': 'O'}, {'this': 'O'}, {'disease.sagepub.co.uk/journalsPermissions.nav.University': 'O'}, {'of': 'O'}, {""L'Aquila,"": 'O'}]"
"The causes of anemia included anemia of chronic disease (69%), autoimmune hemolytic anemia (AIHA, 18%), iron deficiency anemia (9%) and other causes (4%), of which AIHA caused the most severe anemia.","[{'The': 'O'}, {'causes': 'O'}, {'of': 'O'}, {'anemia': 'I-Entity'}, {'included': 'O'}, {'anemia': 'B-Entity'}, {'of': 'I-Entity'}, {'chronic': 'I-Entity'}, {'disease': 'I-Entity'}, {'(69%),': 'O'}, {'autoimmune': 'B-Entity'}, {'hemolytic': 'I-Entity'}, {'anemia': 'I-Entity'}, {'(AIHA,': 'O'}, {'18%),': 'O'}, {'iron': 'B-Entity'}, {'deficiency': 'I-Entity'}, {'anemia': 'I-Entity'}, {'(9%)': 'O'}, {'and': 'O'}, {'other': 'O'}, {'causes': 'O'}, {'(4%),': 'O'}, {'of': 'O'}, {'which': 'O'}, {'AIHA': 'I-Entity'}, {'caused': 'O'}, {'the': 'O'}, {'most': 'O'}, {'severe': 'O'}, {'anemia.': 'I-Entity'}]"
